satellite_id,name,country_operator,orbit_class,orbit_type,perigee_km,apogee_km,altitude_mean_km,eccentricity,inclination_deg,period_min,launch_mass_kg,launch_date,expected_lifetime_yrs,launch_site,launch_vehicle,norad_number,cospar_number,orbit_shell,launch_year
628,Starlink-1683 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46578.0,2020-070AY,Shell-1 (400–600 km),2020
629,Starlink-1684 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46539.0,2020-070H,Shell-1 (400–600 km),2020
630,Starlink-1685 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46540.0,2020-070J,Shell-1 (400–600 km),2020
631,Starlink-1686,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46328.0,2020-062D,Shell-1 (400–600 km),2020
632,Starlink-1687 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46541.0,2020-070K,Shell-1 (400–600 km),2020
633,Starlink-1688,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46371.0,2020-062AY,Shell-1 (400–600 km),2020
634,Starlink-1689,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46372.0,2020-062AZ,Shell-1 (400–600 km),2020
635,Starlink-1690,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46358.0,2020-062AK,Shell-1 (400–600 km),2020
636,Starlink-1691 ,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46373.0,2020-062BA,Shell-1 (400–600 km),2020
637,Starlink-1692 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46542.0,2020-070L,Shell-1 (400–600 km),2020
638,Starlink-1693 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46543.0,2020-070M,Shell-1 (400–600 km),2020
639,Starlink-1694 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46544.0,2020-070N,Shell-1 (400–600 km),2020
640,Starlink-1695,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46329.0,2020-062E,Shell-1 (400–600 km),2020
